Student Name,Operating System,Computer Networks,DBMS,DSA,LR,Maths,Study_Time,English_Score,Course Needed
Student 605,83,79,85,97,87,97,4,67,0
Student 606,100,52,80,53,65,57,2,71,1
Student 607,66,65,100,97,79,50,8,94,0
Student 608,94,72,62,55,77,81,6,78,1
Student 609,74,96,53,72,80,69,4,78,1
Student 610,93,61,69,51,62,58,3,93,1
Student 611,78,61,96,59,83,54,8,65,1
Student 612,68,92,96,55,98,93,2,53,0
Student 613,98,60,64,100,61,80,2,99,0
Student 614,72,93,72,53,82,84,7,62,1
Student 615,64,50,50,78,96,72,3,77,1
Student 616,62,73,65,76,79,71,8,91,1
Student 617,87,60,74,53,68,55,8,79,1
Student 618,64,83,65,76,59,79,4,66,1
Student 619,84,66,87,82,83,75,1,61,0
Student 620,87,67,94,60,88,64,2,75,0
Student 621,82,76,89,70,78,64,3,63,1
Student 622,66,50,94,54,96,73,5,77,1
Student 623,55,72,67,90,66,70,7,53,1
Student 624,89,85,84,90,98,72,5,77,0
Student 625,53,65,85,61,85,65,4,81,1
Student 626,96,74,71,77,54,100,4,97,0
Student 627,97,91,65,50,69,82,2,91,0
Student 628,75,93,51,85,100,69,2,89,0
Student 629,78,79,83,63,55,52,6,95,1
Student 630,66,100,74,50,66,91,5,97,0
Student 631,63,98,51,90,100,89,1,53,0
Student 632,85,88,64,56,81,100,3,68,0
Student 633,53,69,79,61,92,71,7,92,1
Student 634,58,95,69,79,83,79,1,60,1
Student 635,87,99,57,63,66,88,4,83,0
Student 636,50,100,75,99,54,52,3,55,1
Student 637,84,96,52,56,57,70,3,97,1
Student 638,79,64,81,62,83,53,2,95,1
Student 639,57,92,63,98,68,58,2,97,0
Student 640,91,85,83,54,62,60,7,66,1
Student 641,89,92,86,81,92,97,1,75,0
Student 642,54,83,96,98,68,78,7,57,0
Student 643,78,50,93,89,86,98,2,85,0
Student 644,100,53,67,51,83,89,6,72,1
Student 645,73,50,93,83,83,89,1,57,0
Student 646,72,66,51,83,62,74,5,73,1
Student 647,71,99,83,63,52,88,6,94,0
Student 648,92,72,100,51,61,54,6,53,1
Student 649,65,51,95,82,96,86,4,51,0
Student 650,64,70,77,83,51,63,4,99,1
Student 651,63,91,64,70,96,74,6,94,0
Student 652,95,64,97,60,64,77,7,89,0
Student 653,68,51,84,72,86,100,6,55,1
Student 654,66,92,50,57,52,60,3,73,1
Student 655,58,67,63,84,60,91,3,61,1
Student 656,66,81,50,57,66,88,8,77,1
Student 657,99,70,62,83,57,78,6,58,1
Student 658,52,56,99,57,94,92,4,55,1
Student 659,100,51,100,64,92,80,1,96,0
Student 660,64,63,60,62,75,86,5,56,1
Student 661,98,73,69,94,60,63,6,67,1
Student 662,74,90,92,60,62,87,7,89,0
Student 663,89,60,87,74,83,53,6,57,1
Student 664,100,94,58,81,90,90,2,98,0
Student 665,68,76,68,51,92,55,4,55,1
Student 666,91,59,77,87,68,84,5,90,0
Student 667,57,73,82,80,82,79,2,50,1
Student 668,86,56,71,77,52,83,1,57,1
Student 669,84,55,75,52,68,56,2,67,1
Student 670,73,85,65,81,99,83,6,93,0
Student 671,85,67,81,57,67,76,7,58,1
Student 672,68,99,71,90,84,71,7,65,0
Student 673,94,96,95,58,87,96,2,65,0
Student 674,69,87,97,67,67,51,5,62,1
Student 675,72,93,94,87,50,59,2,59,1
Student 676,71,66,83,75,72,63,5,93,1
Student 677,86,59,68,50,52,62,3,90,1
Student 678,67,98,59,54,72,53,4,67,1
Student 679,95,65,57,55,90,88,6,60,1
Student 680,91,96,55,93,75,99,7,69,0
Student 681,76,70,55,67,96,79,6,96,0
Student 682,54,91,57,80,81,80,3,53,1
Student 683,78,61,77,51,86,97,1,60,1
Student 684,67,81,55,91,50,67,1,81,1
Student 685,68,53,100,63,55,88,4,82,1
Student 686,80,57,90,80,80,64,4,71,1
Student 687,77,92,88,66,82,70,5,70,0
Student 688,58,95,55,52,82,59,1,95,1
Student 689,99,86,94,99,53,64,6,88,0
Student 690,61,92,99,99,71,55,6,67,0
Student 691,61,94,57,50,96,81,8,79,1
Student 692,88,82,63,89,73,100,8,61,0
Student 693,53,95,98,59,57,66,6,67,1
Student 694,98,84,70,99,91,51,8,54,0
Student 695,76,77,66,100,82,63,7,86,0
Student 696,54,96,58,54,71,85,5,55,1
Student 697,84,86,68,92,69,53,5,71,1
Student 698,89,99,91,52,94,67,5,95,0
Student 699,75,84,92,90,100,55,6,73,0
Student 700,86,50,52,66,56,92,5,83,1
Student 701,69,66,56,80,51,79,3,55,1
Student 702,73,91,51,91,100,69,6,80,0
Student 703,64,71,60,58,91,83,8,85,1
Student 704,63,84,65,85,50,70,1,60,1
Student 705,89,98,90,86,50,60,7,54,0
Student 706,79,85,86,82,100,98,6,50,0
Student 707,67,54,71,83,69,53,8,95,1
Student 708,89,55,58,95,66,60,2,88,1
Student 709,71,55,85,68,81,74,2,72,1
Student 710,94,100,85,57,85,91,1,89,0
Student 711,82,62,91,55,88,77,5,62,1
Student 712,92,65,62,68,89,86,8,79,0
Student 713,77,56,78,65,82,100,7,57,1
Student 714,76,84,79,60,87,82,7,75,0
Student 715,83,69,88,87,76,87,8,90,0
Student 716,73,76,68,65,71,98,6,89,0
Student 717,63,82,56,67,82,80,1,61,1
Student 718,63,87,96,100,71,96,5,53,0
Student 719,100,57,79,94,58,100,7,70,0
Student 720,100,84,100,69,94,76,7,71,0
Student 721,73,55,72,68,63,71,8,65,1
Student 722,73,99,50,69,58,80,2,67,1
Student 723,77,88,65,79,87,82,3,76,0
Student 724,67,67,75,69,93,54,1,73,1
Student 725,95,65,72,68,81,73,6,63,1
Student 726,87,93,71,61,59,69,8,86,0
Student 727,69,96,60,65,89,100,2,66,0
Student 728,79,81,91,91,98,59,4,71,0
Student 729,55,95,62,55,67,64,6,100,1
Student 730,61,63,80,82,56,68,4,79,1
Student 731,90,79,95,61,92,64,3,58,0
Student 732,94,89,90,63,87,63,6,83,0
Student 733,63,63,60,53,86,54,6,80,1
Student 734,50,80,50,74,60,92,8,85,1
Student 735,59,95,89,71,56,97,2,78,0
Student 736,69,87,53,69,58,95,6,80,1
Student 737,78,60,98,72,57,62,5,58,1
Student 738,50,74,83,76,63,53,2,92,1
Student 739,57,96,57,100,68,79,2,89,0
Student 740,58,59,75,98,100,53,7,76,1
Student 741,86,88,52,77,99,87,8,89,0
Student 742,73,75,77,93,96,79,4,53,0
Student 743,63,97,93,97,68,69,5,74,0
Student 744,95,80,81,64,61,65,3,64,1
Student 745,72,82,95,51,81,95,2,76,0
Student 746,74,66,75,76,58,84,6,93,0
Student 747,55,100,69,84,92,57,4,62,1
Student 748,81,86,72,61,78,83,2,74,0
Student 749,96,84,58,91,81,81,3,72,0
Student 750,55,83,95,94,90,71,4,57,0
Student 751,79,58,77,94,64,93,8,58,1
Student 752,52,74,94,57,91,98,5,84,0
Student 753,86,61,81,64,90,56,2,88,0
Student 754,61,76,90,75,93,87,3,52,0
Student 755,63,76,80,76,55,73,1,82,1
Student 756,74,55,62,54,92,64,1,56,1
Student 757,79,97,56,86,65,74,1,78,0
Student 758,92,64,84,92,54,89,5,55,0
Student 759,59,88,75,50,75,67,4,53,1
Student 760,89,66,50,70,65,57,7,67,1
Student 761,58,52,67,96,95,59,8,76,1
Student 762,66,97,94,75,56,84,5,90,0
Student 763,62,65,66,77,83,71,5,96,1
Student 764,62,87,83,91,54,65,5,66,1
Student 765,99,51,89,76,89,96,6,52,0
Student 766,67,68,95,97,57,53,7,81,1
Student 767,69,91,61,75,70,79,5,51,1
Student 768,51,73,76,54,63,97,2,61,1
Student 769,74,69,94,58,87,75,1,72,0
Student 770,72,100,76,80,52,73,4,51,1
Student 771,100,97,82,52,62,81,3,81,0
Student 772,98,70,59,97,60,97,8,55,0
Student 773,83,98,90,85,95,63,8,90,0
Student 774,100,67,68,73,88,56,7,76,0
Student 775,90,98,64,86,88,82,8,55,0
Student 776,50,72,95,77,57,62,4,61,1
Student 777,63,52,88,74,86,53,6,50,1
Student 778,55,74,83,64,71,93,4,75,1
Student 779,50,61,84,76,62,70,3,51,1
Student 780,98,91,78,89,53,64,5,74,0
Student 781,99,90,53,80,82,93,5,66,0
Student 782,76,59,82,54,80,63,2,58,1
Student 783,74,76,53,51,67,70,7,55,1
Student 784,53,96,74,85,92,71,2,74,0
Student 785,94,50,53,60,50,60,3,89,1
Student 786,88,56,90,88,62,71,4,67,1
Student 787,51,96,76,96,94,87,5,71,0
Student 788,91,69,86,73,99,86,6,95,0
Student 789,63,76,75,98,87,86,3,60,0
Student 790,81,55,86,52,57,86,8,57,1
Student 791,54,70,82,81,93,66,4,72,1
Student 792,81,60,98,71,53,96,3,66,1
Student 793,82,90,77,98,61,77,2,78,0
Student 794,74,75,55,89,87,99,7,62,0
Student 795,74,76,79,51,65,61,3,86,1
Student 796,51,85,72,65,59,73,6,77,1
Student 797,56,90,51,58,92,94,4,74,1
Student 798,59,93,94,72,86,58,3,56,1
Student 799,93,96,74,60,91,60,6,87,0
Student 800,83,94,55,76,68,92,8,63,0
Student 801,69,70,75,71,73,62,6,51,1
Student 802,97,76,93,83,63,66,6,54,0
Student 803,85,81,53,72,58,92,6,79,1
Student 804,52,61,70,69,60,53,3,65,1
Student 805,86,59,66,51,79,65,2,68,1
Student 806,58,55,62,71,100,68,1,92,1
Student 807,79,72,61,60,71,70,6,99,1
Student 808,97,64,55,54,74,65,2,77,1
Student 809,88,80,75,76,97,69,6,52,0
Student 810,58,72,84,96,89,50,3,87,0
Student 811,51,76,73,72,85,90,1,57,1
Student 812,91,61,56,88,51,55,4,83,1
Student 813,56,84,72,68,66,91,5,60,1
Student 814,86,75,94,99,67,51,6,58,0
Student 815,90,77,90,51,95,67,7,71,0
Student 816,94,79,94,95,66,68,4,94,0
Student 817,64,69,76,57,76,97,4,54,1
Student 818,100,99,64,86,77,60,7,98,0
Student 819,50,90,65,87,90,68,3,65,1
Student 820,65,91,91,52,85,79,6,75,0
Student 821,77,64,52,97,77,52,7,70,1
Student 822,68,87,98,68,50,87,4,58,1
Student 823,86,62,80,99,65,58,3,63,1
Student 824,68,67,77,50,99,54,5,64,1
Student 825,54,100,54,62,96,89,5,86,0
Student 826,87,90,54,64,57,78,6,58,1
Student 827,96,87,95,58,83,79,4,86,0
Student 828,94,89,100,97,94,53,7,75,0
Student 829,76,66,88,89,57,93,4,55,1
Student 830,81,79,65,69,73,94,7,84,0
Student 831,61,63,64,85,99,85,3,53,1
Student 832,70,92,98,64,94,71,1,50,0
Student 833,79,97,73,86,65,64,5,67,0
Student 834,72,82,56,85,71,70,3,51,1
Student 835,53,65,99,51,72,63,7,50,1
Student 836,95,90,76,64,51,90,2,51,1
Student 837,58,89,75,90,72,96,2,76,0
Student 838,91,64,78,93,68,98,3,50,0
Student 839,77,53,87,51,50,79,1,71,1
Student 840,79,64,71,60,55,69,6,97,1
Student 841,54,98,75,73,51,100,6,62,1
Student 842,95,74,97,72,94,100,3,84,0
Student 843,88,82,69,51,54,78,3,91,1
Student 844,95,69,65,82,58,69,4,68,1
Student 845,74,71,52,71,100,94,1,92,0
Student 846,70,94,64,64,59,81,8,75,1
Student 847,61,98,84,69,59,86,7,93,0
Student 848,79,86,87,68,80,88,6,93,0
Student 849,67,91,99,63,81,56,8,56,1
Student 850,94,74,100,62,55,55,4,75,1
Student 851,68,80,88,91,70,54,5,70,1
Student 852,82,87,89,93,56,76,6,71,0
Student 853,65,90,50,70,55,99,7,67,1
Student 854,63,50,61,50,86,88,8,97,1
Student 855,74,89,52,81,88,66,1,89,0
Student 856,60,61,62,50,69,60,6,58,1
Student 857,96,66,52,83,77,70,8,64,1
Student 858,51,60,96,84,86,78,3,69,1
Student 859,74,88,97,83,88,76,1,79,0
Student 860,73,80,60,100,75,79,7,88,0
Student 861,95,80,68,76,91,88,5,55,0
Student 862,99,55,57,78,68,66,8,67,1
Student 863,61,68,53,99,72,94,5,75,1
Student 864,70,55,89,91,65,68,8,96,0
Student 865,94,69,53,60,86,89,6,61,1
Student 866,69,56,90,64,97,56,4,94,0
Student 867,87,62,95,71,74,66,4,56,1
Student 868,71,51,59,60,56,74,1,74,1
Student 869,61,88,63,54,50,66,1,96,1
Student 870,62,92,62,96,77,54,7,67,1
Student 871,83,66,99,71,91,79,7,58,0
Student 872,86,54,69,72,55,89,4,79,1
Student 873,93,91,62,92,88,67,7,78,0
Student 874,97,89,96,50,76,69,1,56,0
Student 875,66,92,91,53,74,74,7,82,0
Student 876,72,70,68,99,57,84,2,90,0
Student 877,98,80,88,60,100,57,2,68,0
Student 878,84,72,69,84,92,74,2,94,0
Student 879,71,91,79,95,68,74,4,100,0
Student 880,64,88,66,71,53,60,4,82,1
Student 881,81,74,98,54,85,97,2,70,0
Student 882,78,72,69,73,69,77,5,78,1
Student 883,67,98,99,59,76,84,1,99,0
Student 884,74,57,55,72,83,90,1,98,0
Student 885,60,73,85,92,100,96,2,87,0
Student 886,52,65,61,63,100,77,6,85,1
Student 887,70,58,90,97,60,73,3,93,0
Student 888,97,99,66,63,54,59,1,63,1
Student 889,83,67,96,86,95,80,8,89,0
Student 890,57,80,55,75,76,92,4,90,1
Student 891,88,95,89,80,98,71,4,73,0
Student 892,60,67,65,61,80,74,2,85,1
Student 893,56,67,88,84,51,57,2,100,1
Student 894,65,59,90,60,60,96,6,62,1
Student 895,73,70,99,57,80,64,4,67,1
Student 896,55,93,61,57,91,65,6,70,1
Student 897,84,71,77,88,80,94,3,53,0
Student 898,65,83,52,59,96,68,2,66,1
Student 899,95,84,79,70,77,53,8,54,1
Student 900,52,58,53,91,99,57,2,81,1
Student 901,51,91,100,97,89,65,4,57,0
Student 902,85,54,95,58,93,66,4,85,0
Student 903,73,56,57,95,52,66,2,50,1
Student 904,84,92,91,69,98,53,7,52,0
Student 905,84,52,63,72,84,68,5,69,1
Student 906,86,53,68,77,73,98,2,51,1
Student 907,91,73,79,90,62,78,3,55,0
Student 908,55,90,61,78,82,65,2,89,1
Student 909,97,52,66,50,55,50,1,75,1
Student 910,66,59,78,85,82,57,3,55,1
Student 911,68,92,57,83,60,62,4,84,1
Student 912,77,50,74,92,79,86,1,76,0
Student 913,60,61,68,97,97,75,5,59,1
Student 914,73,61,83,72,50,54,2,98,1
Student 915,61,73,69,97,69,63,7,66,1
Student 916,71,58,75,97,76,69,8,60,1
Student 917,78,52,52,92,64,67,1,95,1
Student 918,88,52,84,76,85,91,3,73,0
Student 919,82,76,57,66,85,96,8,100,0
Student 920,95,100,84,69,94,87,2,79,0
Student 921,82,79,96,80,81,66,8,98,0
Student 922,63,56,94,85,63,65,6,79,1
Student 923,79,95,87,87,70,67,1,89,0
Student 924,83,74,61,94,66,64,5,86,0
Student 925,71,76,52,60,66,74,8,81,1
Student 926,85,59,51,88,57,83,5,96,1
Student 927,80,92,64,76,61,62,4,78,1
Student 928,69,85,80,93,74,76,3,55,0
Student 929,69,75,64,83,58,61,6,50,1
Student 930,57,53,69,100,57,73,5,81,1
Student 931,88,99,66,80,95,97,2,97,0
Student 932,98,86,58,83,96,95,1,57,0
Student 933,80,66,60,94,84,62,5,52,1
Student 934,60,89,77,100,100,90,2,96,0
Student 935,75,96,89,95,51,79,5,59,0
Student 936,87,70,51,66,64,50,6,52,1
Student 937,96,92,94,54,77,92,8,84,0
Student 938,54,76,56,62,92,98,4,98,0
Student 939,85,88,98,95,77,73,1,83,0
Student 940,54,58,94,86,80,83,8,85,0
Student 941,88,94,75,99,64,68,5,52,0
Student 942,77,51,76,60,60,83,6,95,1
Student 943,58,55,61,87,81,54,6,70,1
Student 944,96,94,98,92,79,77,3,71,0
Student 945,83,99,72,50,97,52,6,96,0
Student 946,70,73,69,90,52,52,4,59,1
Student 947,97,76,86,63,98,87,2,55,0
Student 948,99,58,58,94,100,83,8,54,0
Student 949,73,78,90,94,78,82,2,81,0
Student 950,94,63,62,95,80,99,5,54,0
Student 951,62,68,77,63,96,63,8,78,1
Student 952,63,97,61,60,70,73,8,64,1
Student 953,51,66,70,79,51,77,2,61,1
Student 954,52,51,93,89,83,81,2,55,1
Student 955,67,95,52,75,99,97,8,88,0
Student 956,87,74,97,80,69,99,4,51,0
Student 957,74,96,68,80,84,68,6,69,0
Student 958,51,80,53,97,53,55,1,73,1
Student 959,66,62,93,58,92,92,1,74,0
Student 960,84,76,50,83,95,74,7,60,1
Student 961,63,50,83,91,62,70,1,85,1
Student 962,78,90,84,57,51,97,1,90,0
Student 963,53,63,72,87,62,68,7,92,1
Student 964,54,76,84,58,74,71,4,61,1
Student 965,67,75,88,62,69,96,4,70,0
Student 966,74,51,59,66,62,93,3,87,1
Student 967,57,67,84,56,60,56,7,83,1
Student 968,51,66,74,76,66,71,8,57,1
Student 969,62,50,75,73,63,100,6,61,1
Student 970,77,98,85,77,57,66,7,52,1
Student 971,85,60,61,84,100,80,6,64,0
Student 972,70,88,91,84,63,63,5,89,0
Student 973,90,93,95,97,76,72,4,97,0
Student 974,74,74,96,50,91,72,7,100,0
Student 975,55,84,72,83,77,64,1,93,0
Student 976,94,72,82,59,56,53,1,61,1
Student 977,52,74,59,85,69,73,3,85,1
Student 978,96,75,97,81,98,58,6,70,0
Student 979,79,77,59,62,76,56,7,62,1
Student 980,50,64,99,52,97,88,8,82,0
Student 981,98,79,68,92,72,55,5,89,0
Student 982,85,69,66,63,88,87,2,95,0
Student 983,80,71,84,70,83,55,1,85,0
Student 984,73,64,54,58,97,75,5,58,1
Student 985,80,54,69,81,54,96,3,99,0
Student 986,80,100,73,86,98,57,3,91,0
Student 987,69,74,80,80,76,50,5,87,1
Student 988,51,65,52,81,72,64,6,98,1
Student 989,66,54,61,88,83,60,1,96,1
Student 990,82,69,62,85,91,62,4,92,0
Student 991,85,52,85,57,53,73,1,59,1
Student 992,88,56,92,87,96,61,7,72,0
Student 993,90,97,87,76,87,64,2,81,0
Student 994,99,77,75,50,86,68,3,50,1
Student 995,84,90,69,58,88,61,7,78,0
Student 996,94,95,69,62,53,82,4,60,1
Student 997,75,57,73,81,82,54,5,71,1
Student 998,82,83,54,74,86,62,1,56,1
Student 999,95,97,96,59,53,64,1,59,1
Student 1000,95,94,65,84,78,51,1,88,0
Student 1001,73,51,94,67,52,52,3,92,1
Student 1002,72,63,76,57,77,98,1,93,0
Student 1003,97,59,89,62,51,72,8,96,0
Student 1004,54,85,71,66,90,78,7,93,0
Student 1005,83,51,87,63,69,68,3,65,1
Student 1006,94,51,98,61,72,69,8,72,1
Student 1007,86,67,75,55,76,72,8,65,1
Student 1008,74,52,72,93,92,82,6,98,0
Student 1009,67,91,86,95,93,75,2,74,0
Student 1010,59,73,72,96,52,72,2,71,1
Student 1011,51,63,61,64,90,95,7,77,1
Student 1012,57,59,62,70,77,54,8,64,1
Student 1013,74,85,91,100,68,60,8,63,0
Student 1014,88,88,61,87,100,79,3,91,0
Student 1015,87,91,91,96,70,78,3,55,0
Student 1016,51,55,68,93,80,78,2,58,1
Student 1017,53,82,91,64,99,64,4,92,0
Student 1018,87,73,58,84,76,67,7,65,1
Student 1019,54,88,72,80,86,92,1,79,0
Student 1020,59,89,85,69,93,79,2,70,0
Student 1021,58,89,84,81,94,79,7,59,0
Student 1022,63,70,53,91,51,56,8,60,1
Student 1023,89,80,99,59,76,99,5,90,0
Student 1024,77,93,75,100,79,53,3,87,0
Student 1025,88,52,82,66,55,94,5,52,1
Student 1026,57,97,74,54,61,94,8,88,1
Student 1027,90,93,58,73,70,95,8,76,0
Student 1028,97,66,56,92,71,50,1,68,1
Student 1029,94,90,76,94,90,89,1,82,0
Student 1030,95,88,75,61,72,74,8,55,1
Student 1031,80,88,98,98,99,72,8,54,0
Student 1032,94,83,60,53,60,60,2,86,1
Student 1033,100,96,69,98,52,92,6,69,0
Student 1034,91,52,58,74,81,74,2,88,1
Student 1035,66,71,95,57,92,74,5,52,1
Student 1036,53,54,55,88,72,74,6,73,1
Student 1037,95,63,70,85,87,55,7,50,1
Student 1038,83,87,86,97,98,71,3,90,0
Student 1039,84,75,92,95,80,95,7,61,0
Student 1040,96,66,86,50,86,65,5,58,1
Student 1041,66,95,87,93,83,76,5,90,0
Student 1042,88,80,96,76,90,86,8,57,0
Student 1043,94,66,56,52,72,92,3,70,1
Student 1044,78,97,69,66,69,60,8,53,1
Student 1045,57,71,60,90,86,76,5,71,1
Student 1046,88,91,94,62,51,57,6,71,1
Student 1047,91,75,64,62,91,77,1,61,1
Student 1048,57,82,68,65,61,78,1,69,1
Student 1049,56,64,80,60,80,85,4,72,1
Student 1050,57,98,77,71,92,72,2,71,0
Student 1051,66,79,71,77,65,94,2,98,0
Student 1052,62,88,66,61,54,74,4,67,1
Student 1053,89,64,52,89,89,56,2,64,1
Student 1054,98,77,79,99,80,60,7,79,0
Student 1055,70,63,82,96,96,62,7,52,1
Student 1056,75,85,88,100,52,100,1,69,0
Student 1057,60,82,83,70,50,66,1,78,1
Student 1058,97,58,68,70,57,92,7,87,0
Student 1059,91,73,50,61,57,91,5,78,1
Student 1060,100,84,70,81,95,81,1,85,0
Student 1061,58,95,99,56,61,51,1,80,1
Student 1062,80,69,75,72,99,76,2,72,0
Student 1063,57,54,80,71,62,68,1,71,1
Student 1064,81,50,64,88,50,92,8,99,1
Student 1065,88,77,69,61,75,86,7,64,1
Student 1066,77,57,80,72,55,50,1,93,1
Student 1067,95,87,50,68,60,84,8,96,0
Student 1068,70,89,74,82,95,54,8,80,0
Student 1069,55,85,67,59,60,63,7,94,1
Student 1070,62,68,78,59,83,94,8,84,0
Student 1071,59,79,74,61,84,64,2,81,1
Student 1072,55,54,65,69,72,53,3,90,1
Student 1073,91,72,72,82,94,52,8,85,0
Student 1074,93,99,98,57,79,74,2,60,0
Student 1075,57,92,61,57,61,54,8,86,1
Student 1076,68,79,99,89,61,70,8,75,0
Student 1077,53,85,99,69,72,89,2,85,0
Student 1078,50,58,63,57,89,83,5,83,1
Student 1079,65,95,62,100,62,81,8,64,0
Student 1080,64,58,73,68,50,96,5,84,1
Student 1081,68,66,52,81,92,91,6,91,0
Student 1082,85,59,83,97,79,67,6,66,0
Student 1083,75,87,57,57,90,83,4,97,0
Student 1084,91,90,88,91,65,61,1,100,0
Student 1085,52,94,86,59,78,64,6,88,1
Student 1086,63,84,70,55,66,93,1,87,1
Student 1087,58,62,97,75,56,59,8,66,1
Student 1088,95,85,66,60,96,53,1,73,0
Student 1089,95,91,76,71,87,52,2,95,0
Student 1090,51,64,63,87,56,85,4,90,1
Student 1091,99,91,80,87,57,91,2,78,0
Student 1092,85,88,54,76,75,62,5,88,0
Student 1093,83,76,64,75,86,79,5,55,1
Student 1094,91,78,60,60,100,96,7,74,0
Student 1095,74,67,59,97,69,98,5,85,0
Student 1096,68,60,90,93,93,92,4,51,0
Student 1097,53,89,60,83,94,57,5,68,1
Student 1098,75,85,63,88,69,59,7,85,1
Student 1099,60,55,66,60,89,57,4,90,1
Student 1100,93,68,88,61,76,55,4,67,1
Student 1101,71,56,70,71,83,82,5,56,1
Student 1102,91,67,79,80,73,100,3,96,0
Student 1103,57,74,98,98,67,78,5,55,0
Student 1104,59,88,55,80,81,71,6,50,1
Student 1105,63,53,78,83,94,84,7,52,1
Student 1106,69,71,74,72,81,77,6,84,0
Student 1107,89,71,100,71,81,72,6,67,0
Student 1108,96,79,61,74,97,54,7,88,0
Student 1109,99,79,58,84,74,98,3,88,0
Student 1110,97,58,65,77,100,97,1,79,0
Student 1111,54,89,51,79,69,100,3,80,1
Student 1112,88,57,60,73,81,100,5,73,0
Student 1113,70,99,96,94,59,74,4,71,0
Student 1114,75,65,53,58,91,96,3,73,1
Student 1115,54,74,71,74,86,96,8,70,1
Student 1116,84,99,87,73,68,63,6,62,0
Student 1117,92,83,88,91,63,71,7,66,0
Student 1118,100,66,86,93,72,87,1,73,0
Student 1119,97,66,79,74,88,69,6,73,0
Student 1120,67,66,77,70,54,97,7,52,1
Student 1121,69,73,61,53,76,87,7,100,1
Student 1122,55,79,95,51,62,86,5,99,0
Student 1123,86,53,58,63,69,50,5,85,1
Student 1124,98,89,93,66,97,81,3,77,0
Student 1125,54,95,100,87,59,84,8,77,0
Student 1126,87,93,99,70,64,71,3,68,0
Student 1127,81,98,65,94,88,71,5,94,0
Student 1128,95,73,89,53,97,57,2,61,1
Student 1129,68,50,67,70,91,95,2,54,1
Student 1130,74,58,65,73,99,86,7,54,1
Student 1131,71,70,52,54,90,97,1,63,1
Student 1132,81,61,98,76,59,86,1,71,0
Student 1133,77,73,57,94,73,60,7,92,0
Student 1134,86,83,75,88,64,51,5,55,1
Student 1135,70,62,65,85,99,79,7,62,1
Student 1136,90,83,91,100,50,64,3,92,0
Student 1137,52,53,78,99,88,52,5,53,1
Student 1138,64,84,77,52,96,66,2,78,1
Student 1139,54,84,53,99,82,95,1,93,0
Student 1140,61,54,53,70,66,99,7,73,1
Student 1141,52,99,74,50,98,59,6,52,1
Student 1142,68,94,62,85,63,66,4,80,1
Student 1143,63,78,99,67,67,65,3,95,0
Student 1144,61,88,66,83,99,56,7,99,0
Student 1145,75,84,98,87,85,97,7,66,0
Student 1146,88,50,59,64,89,94,6,80,1
Student 1147,62,62,98,51,99,54,6,70,1
Student 1148,86,93,89,66,84,100,4,52,0
Student 1149,66,58,90,78,68,99,6,54,1
Student 1150,92,59,94,53,52,80,1,77,1
Student 1151,81,77,78,58,66,86,4,54,1
Student 1152,89,53,69,90,68,84,6,91,0
Student 1153,67,54,78,60,89,83,7,69,1
Student 1154,85,79,99,87,60,98,8,63,0
Student 1155,91,78,65,71,97,93,4,89,0
Student 1156,96,94,79,58,53,75,3,74,0
Student 1157,62,63,87,89,59,76,2,67,1
Student 1158,86,71,50,60,56,88,2,86,1
Student 1159,93,57,67,93,88,83,2,55,0
Student 1160,76,65,80,64,85,78,8,83,0
Student 1161,57,92,84,89,92,69,8,82,0
Student 1162,69,95,78,83,79,56,7,87,0
Student 1163,52,70,73,75,85,100,2,76,0
Student 1164,85,53,63,93,77,52,7,58,1
Student 1165,77,100,57,59,56,62,2,92,1
Student 1166,73,51,83,70,61,84,8,96,1
Student 1167,59,97,90,95,93,54,6,61,0
Student 1168,63,88,74,63,73,73,4,70,1
Student 1169,67,86,96,99,90,86,4,88,0
Student 1170,69,79,50,56,83,52,6,54,1
Student 1171,61,60,70,68,70,58,6,85,1
Student 1172,62,92,79,79,87,91,6,57,0
Student 1173,74,54,68,78,87,59,5,92,1
Student 1174,85,78,53,50,86,85,8,53,1
Student 1175,92,63,50,84,91,80,1,87,0
Student 1176,89,75,55,62,59,72,1,71,1
Student 1177,65,51,52,100,74,76,7,52,1
Student 1178,52,77,75,78,62,67,1,90,1
Student 1179,76,65,56,61,50,96,1,61,1
Student 1180,67,55,57,74,62,56,3,90,1
Student 1181,56,58,62,98,91,66,3,51,1
Student 1182,89,62,88,58,63,58,7,64,1
Student 1183,77,58,99,88,52,65,8,98,0
Student 1184,51,57,53,98,70,77,7,50,1
Student 1185,58,58,98,56,56,51,4,74,1
Student 1186,84,94,61,66,79,73,6,55,1
Student 1187,50,87,53,78,99,95,3,67,0
Student 1188,68,67,83,90,90,64,5,55,1
Student 1189,67,54,90,81,89,68,7,89,0
Student 1190,100,64,98,56,70,92,5,84,0
Student 1191,89,70,86,64,50,61,2,67,1
Student 1192,53,59,57,64,97,77,5,91,1
Student 1193,85,85,69,62,83,93,7,74,0
Student 1194,75,95,97,81,53,79,4,60,0
Student 1195,57,59,74,62,76,71,2,64,1
Student 1196,61,60,100,63,78,85,8,96,0
Student 1197,79,98,56,87,51,83,2,70,1
Student 1198,97,55,98,67,77,92,2,67,0
Student 1199,64,76,94,71,59,59,4,66,1
Student 1200,55,57,71,64,99,59,6,89,1
Student 1201,58,70,96,72,97,97,4,66,0
